variable,problema,valor,frecuencia
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO  ADOLFO V. HALL  DE ORIENTE,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO TÉCNICO DE  EDUCACIÓN INDUSTRIAL,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO  TÉCNICO  PRIVADO  VOCACIONAL,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PRIVADO MIXTO EVANGELICO  ELIM,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  SAN PATRICIO,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  ALEMAN DE GUATEMALA,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO EVANGELICO MIXTO  EL CALVARIO,1
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO  "" MARIA AUXILIADORA """,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  GIBBS,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO  NIM-BEI,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO OCUPACIONAL-EXPERIMENTAL  CAMPERO,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA  SANTA CLARA MARIA  (SAINT CLAIRE),1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO MIXTO  DR. RODOLFO ROBLES,1
ESTABLECIMIENTO,espacios multiples internos,CENTRO DE COMPUTACION  IMB-PC  NO.2,1
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO NACIONAL DIVERSIFICADO VESPERTINO  ENRIQUE GOMEZ CARRILLO  CON ORIENTACION COMERCIAL,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  EL PUENTE,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  CIUDAD VIEJA,1
ESTABLECIMIENTO,espacios multiples internos,CENTRO EDUCATIVO SUPERACION  GALILEO,1
ESTABLECIMIENTO,espacios multiples internos,INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA MARISCAL,1
ESTABLECIMIENTO,espacios multiples internos,"COLEGIO MIXTO BILINGUE  ""EL PRADO""",1
ESTABLECIMIENTO,espacios multiples internos,CENTRO  DE  EDUCACIÓN  EXTRAESCOLAR  ASOCIACIÓN  CAMINO  SEGURO,1
ESTABLECIMIENTO,espacios multiples internos,CENTRO   INTEGRAL   EDUCATIVO  LA  SABIDURÍA-CIES-,1
ESTABLECIMIENTO,espacios multiples internos,LICEO CRISTIANO  VERDAD   L.C.V.,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO   AMERICANO  HOWARD   GARDNER,1
ESTABLECIMIENTO,espacios multiples internos,CENTRO EDUCACIONAL MINERVA  CEDMA,1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO MIXTO  LA PALMITA,1
ESTABLECIMIENTO,espacios multiples internos,"""LICEO DE COMPUTACIÓN C.S.S,  ZONA 6""",1
ESTABLECIMIENTO,espacios multiples internos,"ESCUELA EXPERIMENTAL CON ORIENTACION OCUPACIONAL  ""VILLA  DE LOS NIÑOS""",1
ESTABLECIMIENTO,espacios multiples internos,LICEO  MIXTO  TÉCNICO  EN  COMPUTACIÓN  SENDA  2000,1
ESTABLECIMIENTO,espacios multiples internos,CENTRO  EDUCATIVO  BILINGÜE  DIDÁCTICO,1
ESTABLECIMIENTO,espacios multiples internos,"COLEGIO  BILINGÜE CRISTIANO  ""EL  ÁRBOL  DEL CONOCIMIENTO""",1
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  BILINGÜE CRISTIANO  EL  ÁRBOL  DEL CONOCIMIENTO,1
