ESTABLECIMIENTO,Frecuencia,Porcentaje
EOTF JOSE CLEMENTE CHAVARRIA,1,0.04
INSTITUTO NACIONAL DE EDUCACION BASICA CON ORIENTACION OCUPACIONAL,1,0.04
IEBC 'LAS PIEDRECITAS',1,0.04
INEB ADS. A ESCUELA NORMAL RURAL NO. 4 DR. ELIZARDO URIZAR LEAL,1,0.04
ESCUELA NORMAL RURAL NO.4 DR. ELIZARDO URIZAR LEAL,1,0.04
LICEO MIXTO 'SAN MATEO',1,0.04
CENTRO ESTUDIALTIL MIGUEL ÁNGEL ASTURIAS,1,0.04
CENTRO DE ATENCION INTEGRAL PAIN,1,0.04
EODP ANEXA A ESCUELA DE EDUCACION ESPECIAL Y CENTRO DE REHABILITACION INTEGRAL,1,0.04
COLEGIO CRISTIANO MONTE ELIM,1,0.04
INSTITUTO TECNICO EXPERIMENTAL DE FORMACIÓN INDUSTRIAL POR COOPERATIVA,1,0.04
COORDINACIÓN DEPARTAMENTAL DE TELESECUNDARIA DE BAJA VERAPAZ,1,0.04
PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA -PRONEA-,1,0.04
INSTITUTO TÉCNICO EXPERIMENTAL DE FORMACIÓN INDUSTRIAL POR COOPERATIVA ITEFIC,1,0.04
INEB INSTITUTO NACIONAL DE EDUCACION BASICA,1,0.04
EORM FRAY BARTOLOME DE LAS CASAS,1,0.04
EOUM 'MINERVA',1,0.04
IEBC DE ENSEÑANZA  LOS ANGELES,1,0.04
EUMP NO. 1,1,0.04
EODP JOSE CLEMENTE CHAVARRIA,1,0.04
EODP ANEXA A  EOUM JOSE CLEMENTE CHAVARRIA,1,0.04
EODP ANEXA A EORM LOS ANGELES,1,0.04
EORM CEE Y CENTRO R.,1,0.04
INSTITUTO NACIONAL DE ADMINISTRACION DE EMPRESAS,1,0.04
CPPB ANEXA A EORM,1,0.04
EODP ANEXA A EORM  FRAY BARTOLOME DE LAS CASAS,1,0.04
ESCUELA DE EDUCACION Y CENTRO DE REHABILITACION INTEGRAL,1,0.04
EODP NO.2 ANEXA A CENTRO DE BIENESTAR SOCIAL,1,0.04
INSTITUTO TECNICO EXPERIMENTAL DE FORMACION INDUSTRIAL POR COOPERATIVA -ITEFIC-,1,0.04
COLEGIO MIXTO NOCTURNO EL ESFUERZO,1,0.04
CEES,1,0.04
CENTRO EDUCATIVO MAYA BILINGUE INTERCULTURAL KAB LAJUJ IQ,1,0.04
CENTRO EDUCATIVO MAYA BILINGUE INTERCULTURAL 'KAB`LAJUUJ IQ,1,0.04
INSTITUTO PARTICULAR MIXTO  CIENCIA Y DESARROLLO  (POR MADUREZ),1,0.04
EOUM 'TIPO FEDERACION',1,0.04
CEES ANEXO A EOUM,1,0.04
INSTITUTO NORMAL DE PRIMARIA BILINGUE INTERCULTURAL ADS. A ESCUELA NORMAL RURAL NO.4 DR. ELIZARDO URIZAR LEAL,1,0.04
PROGRAMA DE HOGARES COMUNITARIOS (SOSEP),1,0.04
INSTITUTO PRIVADO DE EDUCACION DIVERSIFICADA CIENCIA Y DESARROLLO,1,0.04
INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA CIENCIA Y DESARROLLO,1,0.04
COLEGIO PARTICULAR MIXTO EL ESFUERZO,1,0.04
COLEGIO PARTICULAR MIXTO DE INFANTES EMANUEL (POR MADUREZ),1,0.04
INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA,1,0.04
CENTRO INFANTIL#04677 (SOSEP),1,0.04
COLEGIO PARTICULAR MIXTO  TEZULUTLAN,1,0.04
INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO,1,0.04
NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED NO.238,1,0.04
COLEGIO PARTICULAR MIXTO DE INFANTES 'EMANUEL',1,0.04
CEIN ANEXA A EORM,1,0.04
COPB ANEXO A EOUM,1,0.04
COPB ANEXA A LA EORM,1,0.04
COPB ANEXA EORM,1,0.04
COLEGIO MIXTO PRIVADO 'SAN JOSE DE BETANCUR',1,0.04
COLEGIO MIXTO PRIVADO 'SAN JOSE DE BETANCUR' (POR MADUREZ),1,0.04
NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED NO.217,1,0.04
CEES ANEXA A EOUM REGIONAL,1,0.04
